Date,Year,Month,MonthName,MonthFullName,Quarter,QuarterNum,YearMonth,YearQuarter,WeekDay,DayOfYear,IsWeekend
2020-01-27,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Monday,27,0
2020-01-28,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Tuesday,28,0
2020-01-29,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Wednesday,29,0
2020-01-30,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Thursday,30,0
2020-01-31,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Friday,31,0
2020-02-01,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Saturday,32,1
2020-02-02,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Sunday,33,1
2020-02-03,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Monday,34,0
2020-02-04,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Tuesday,35,0
2020-02-05,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Wednesday,36,0
2020-02-06,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Thursday,37,0
2020-02-07,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Friday,38,0
2020-02-08,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Saturday,39,1
2020-02-09,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Sunday,40,1
2020-02-10,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Monday,41,0
2020-02-11,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Tuesday,42,0
2020-02-12,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Wednesday,43,0
2020-02-13,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Thursday,44,0
2020-02-14,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Friday,45,0
2020-02-15,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Saturday,46,1
2020-02-16,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Sunday,47,1
2020-02-17,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Monday,48,0
2020-02-18,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Tuesday,49,0
2020-02-19,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Wednesday,50,0
2020-02-20,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Thursday,51,0
2020-02-21,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Friday,52,0
2020-02-22,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Saturday,53,1
2020-02-23,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Sunday,54,1
2020-02-24,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Monday,55,0
2020-02-25,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Tuesday,56,0
2020-02-26,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Wednesday,57,0
2020-02-27,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Thursday,58,0
2020-02-28,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Friday,59,0
2020-02-29,2020,2,Feb,February,Q1,1,2020-02,2020-Q1,Saturday,60,1
2020-03-01,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Sunday,61,1
2020-03-02,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Monday,62,0
2020-03-03,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Tuesday,63,0
2020-03-04,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Wednesday,64,0
2020-03-05,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Thursday,65,0
2020-03-06,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Friday,66,0
2020-03-07,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Saturday,67,1
2020-03-08,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Sunday,68,1
2020-03-09,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Monday,69,0
2020-03-10,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Tuesday,70,0
2020-03-11,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Wednesday,71,0
2020-03-12,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Thursday,72,0
2020-03-13,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Friday,73,0
2020-03-14,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Saturday,74,1
2020-03-15,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Sunday,75,1
2020-03-16,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Monday,76,0
2020-03-17,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Tuesday,77,0
2020-03-18,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Wednesday,78,0
2020-03-19,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Thursday,79,0
2020-03-20,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Friday,80,0
2020-03-21,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Saturday,81,1
2020-03-22,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Sunday,82,1
2020-03-23,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Monday,83,0
2020-03-24,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Tuesday,84,0
2020-03-25,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Wednesday,85,0
2020-03-26,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Thursday,86,0
2020-03-27,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Friday,87,0
2020-03-28,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Saturday,88,1
2020-03-29,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Sunday,89,1
2020-03-30,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Monday,90,0
2020-03-31,2020,3,Mar,March,Q1,1,2020-03,2020-Q1,Tuesday,91,0
2020-04-01,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Wednesday,92,0
2020-04-02,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Thursday,93,0
2020-04-03,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Friday,94,0
2020-04-04,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Saturday,95,1
2020-04-05,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Sunday,96,1
2020-04-06,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Monday,97,0
2020-04-07,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Tuesday,98,0
2020-04-08,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Wednesday,99,0
2020-04-09,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Thursday,100,0
2020-04-10,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Friday,101,0
2020-04-11,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Saturday,102,1
2020-04-12,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Sunday,103,1
2020-04-13,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Monday,104,0
2020-04-14,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Tuesday,105,0
2020-04-15,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Wednesday,106,0
2020-04-16,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Thursday,107,0
2020-04-17,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Friday,108,0
2020-04-18,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Saturday,109,1
2020-04-19,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Sunday,110,1
2020-04-20,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Monday,111,0
2020-04-21,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Tuesday,112,0
2020-04-22,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Wednesday,113,0
2020-04-23,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Thursday,114,0
2020-04-24,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Friday,115,0
2020-04-25,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Saturday,116,1
2020-04-26,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Sunday,117,1
2020-04-27,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Monday,118,0
2020-04-28,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Tuesday,119,0
2020-04-29,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Wednesday,120,0
2020-04-30,2020,4,Apr,April,Q2,2,2020-04,2020-Q2,Thursday,121,0
2020-05-01,2020,5,May,May,Q2,2,2020-05,2020-Q2,Friday,122,0
2020-05-02,2020,5,May,May,Q2,2,2020-05,2020-Q2,Saturday,123,1
2020-05-03,2020,5,May,May,Q2,2,2020-05,2020-Q2,Sunday,124,1
2020-05-04,2020,5,May,May,Q2,2,2020-05,2020-Q2,Monday,125,0
2020-05-05,2020,5,May,May,Q2,2,2020-05,2020-Q2,Tuesday,126,0
2020-05-06,2020,5,May,May,Q2,2,2020-05,2020-Q2,Wednesday,127,0
2020-05-07,2020,5,May,May,Q2,2,2020-05,2020-Q2,Thursday,128,0
2020-05-08,2020,5,May,May,Q2,2,2020-05,2020-Q2,Friday,129,0
2020-05-09,2020,5,May,May,Q2,2,2020-05,2020-Q2,Saturday,130,1
2020-05-10,2020,5,May,May,Q2,2,2020-05,2020-Q2,Sunday,131,1
2020-05-11,2020,5,May,May,Q2,2,2020-05,2020-Q2,Monday,132,0
2020-05-12,2020,5,May,May,Q2,2,2020-05,2020-Q2,Tuesday,133,0
2020-05-13,2020,5,May,May,Q2,2,2020-05,2020-Q2,Wednesday,134,0
2020-05-14,2020,5,May,May,Q2,2,2020-05,2020-Q2,Thursday,135,0
2020-05-15,2020,5,May,May,Q2,2,2020-05,2020-Q2,Friday,136,0
2020-05-16,2020,5,May,May,Q2,2,2020-05,2020-Q2,Saturday,137,1
2020-05-17,2020,5,May,May,Q2,2,2020-05,2020-Q2,Sunday,138,1
2020-05-18,2020,5,May,May,Q2,2,2020-05,2020-Q2,Monday,139,0
2020-05-19,2020,5,May,May,Q2,2,2020-05,2020-Q2,Tuesday,140,0
2020-05-20,2020,5,May,May,Q2,2,2020-05,2020-Q2,Wednesday,141,0
2020-05-21,2020,5,May,May,Q2,2,2020-05,2020-Q2,Thursday,142,0
2020-05-22,2020,5,May,May,Q2,2,2020-05,2020-Q2,Friday,143,0
2020-05-23,2020,5,May,May,Q2,2,2020-05,2020-Q2,Saturday,144,1
2020-05-24,2020,5,May,May,Q2,2,2020-05,2020-Q2,Sunday,145,1
2020-05-25,2020,5,May,May,Q2,2,2020-05,2020-Q2,Monday,146,0
2020-05-26,2020,5,May,May,Q2,2,2020-05,2020-Q2,Tuesday,147,0
2020-05-27,2020,5,May,May,Q2,2,2020-05,2020-Q2,Wednesday,148,0
2020-05-28,2020,5,May,May,Q2,2,2020-05,2020-Q2,Thursday,149,0
2020-05-29,2020,5,May,May,Q2,2,2020-05,2020-Q2,Friday,150,0
2020-05-30,2020,5,May,May,Q2,2,2020-05,2020-Q2,Saturday,151,1
2020-05-31,2020,5,May,May,Q2,2,2020-05,2020-Q2,Sunday,152,1
2020-06-01,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Monday,153,0
2020-06-02,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Tuesday,154,0
2020-06-03,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Wednesday,155,0
2020-06-04,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Thursday,156,0
2020-06-05,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Friday,157,0
2020-06-06,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Saturday,158,1
2020-06-07,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Sunday,159,1
2020-06-08,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Monday,160,0
2020-06-09,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Tuesday,161,0
2020-06-10,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Wednesday,162,0
2020-06-11,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Thursday,163,0
2020-06-12,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Friday,164,0
2020-06-13,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Saturday,165,1
2020-06-14,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Sunday,166,1
2020-06-15,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Monday,167,0
2020-06-16,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Tuesday,168,0
2020-06-17,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Wednesday,169,0
2020-06-18,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Thursday,170,0
2020-06-19,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Friday,171,0
2020-06-20,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Saturday,172,1
2020-06-21,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Sunday,173,1
2020-06-22,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Monday,174,0
2020-06-23,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Tuesday,175,0
2020-06-24,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Wednesday,176,0
2020-06-25,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Thursday,177,0
2020-06-26,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Friday,178,0
2020-06-27,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Saturday,179,1
2020-06-28,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Sunday,180,1
2020-06-29,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Monday,181,0
2020-06-30,2020,6,Jun,June,Q2,2,2020-06,2020-Q2,Tuesday,182,0
2020-07-01,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Wednesday,183,0
2020-07-02,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Thursday,184,0
2020-07-03,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Friday,185,0
2020-07-04,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Saturday,186,1
2020-07-05,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Sunday,187,1
2020-07-06,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Monday,188,0
2020-07-07,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Tuesday,189,0
2020-07-08,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Wednesday,190,0
2020-07-09,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Thursday,191,0
2020-07-10,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Friday,192,0
2020-07-11,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Saturday,193,1
2020-07-12,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Sunday,194,1
2020-07-13,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Monday,195,0
2020-07-14,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Tuesday,196,0
2020-07-15,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Wednesday,197,0
2020-07-16,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Thursday,198,0
2020-07-17,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Friday,199,0
2020-07-18,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Saturday,200,1
2020-07-19,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Sunday,201,1
2020-07-20,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Monday,202,0
2020-07-21,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Tuesday,203,0
2020-07-22,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Wednesday,204,0
2020-07-23,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Thursday,205,0
2020-07-24,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Friday,206,0
2020-07-25,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Saturday,207,1
2020-07-26,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Sunday,208,1
2020-07-27,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Monday,209,0
2020-07-28,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Tuesday,210,0
2020-07-29,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Wednesday,211,0
2020-07-30,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Thursday,212,0
2020-07-31,2020,7,Jul,July,Q3,3,2020-07,2020-Q3,Friday,213,0
2020-08-01,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Saturday,214,1
2020-08-02,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Sunday,215,1
2020-08-03,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Monday,216,0
2020-08-04,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Tuesday,217,0
2020-08-05,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Wednesday,218,0
2020-08-06,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Thursday,219,0
2020-08-07,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Friday,220,0
2020-08-08,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Saturday,221,1
2020-08-09,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Sunday,222,1
2020-08-10,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Monday,223,0
2020-08-11,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Tuesday,224,0
2020-08-12,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Wednesday,225,0
2020-08-13,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Thursday,226,0
2020-08-14,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Friday,227,0
2020-08-15,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Saturday,228,1
2020-08-16,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Sunday,229,1
2020-08-17,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Monday,230,0
2020-08-18,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Tuesday,231,0
2020-08-19,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Wednesday,232,0
2020-08-20,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Thursday,233,0
2020-08-21,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Friday,234,0
2020-08-22,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Saturday,235,1
2020-08-23,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Sunday,236,1
2020-08-24,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Monday,237,0
2020-08-25,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Tuesday,238,0
2020-08-26,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Wednesday,239,0
2020-08-27,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Thursday,240,0
2020-08-28,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Friday,241,0
2020-08-29,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Saturday,242,1
2020-08-30,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Sunday,243,1
2020-08-31,2020,8,Aug,August,Q3,3,2020-08,2020-Q3,Monday,244,0
2020-09-01,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Tuesday,245,0
2020-09-02,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Wednesday,246,0
2020-09-03,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Thursday,247,0
2020-09-04,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Friday,248,0
2020-09-05,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Saturday,249,1
2020-09-06,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Sunday,250,1
2020-09-07,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Monday,251,0
2020-09-08,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Tuesday,252,0
2020-09-09,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Wednesday,253,0
2020-09-10,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Thursday,254,0
2020-09-11,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Friday,255,0
2020-09-12,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Saturday,256,1
2020-09-13,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Sunday,257,1
2020-09-14,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Monday,258,0
2020-09-15,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Tuesday,259,0
2020-09-16,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Wednesday,260,0
2020-09-17,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Thursday,261,0
2020-09-18,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Friday,262,0
2020-09-19,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Saturday,263,1
2020-09-20,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Sunday,264,1
2020-09-21,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Monday,265,0
2020-09-22,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Tuesday,266,0
2020-09-23,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Wednesday,267,0
2020-09-24,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Thursday,268,0
2020-09-25,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Friday,269,0
2020-09-26,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Saturday,270,1
2020-09-27,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Sunday,271,1
2020-09-28,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Monday,272,0
2020-09-29,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Tuesday,273,0
2020-09-30,2020,9,Sep,September,Q3,3,2020-09,2020-Q3,Wednesday,274,0
2020-10-01,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Thursday,275,0
2020-10-02,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Friday,276,0
2020-10-03,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Saturday,277,1
2020-10-04,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Sunday,278,1
2020-10-05,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Monday,279,0
2020-10-06,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Tuesday,280,0
2020-10-07,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Wednesday,281,0
2020-10-08,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Thursday,282,0
2020-10-09,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Friday,283,0
2020-10-10,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Saturday,284,1
2020-10-11,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Sunday,285,1
2020-10-12,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Monday,286,0
2020-10-13,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Tuesday,287,0
2020-10-14,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Wednesday,288,0
2020-10-15,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Thursday,289,0
2020-10-16,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Friday,290,0
2020-10-17,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Saturday,291,1
2020-10-18,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Sunday,292,1
2020-10-19,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Monday,293,0
2020-10-20,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Tuesday,294,0
2020-10-21,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Wednesday,295,0
2020-10-22,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Thursday,296,0
2020-10-23,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Friday,297,0
2020-10-24,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Saturday,298,1
2020-10-25,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Sunday,299,1
2020-10-26,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Monday,300,0
2020-10-27,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Tuesday,301,0
2020-10-28,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Wednesday,302,0
2020-10-29,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Thursday,303,0
2020-10-30,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Friday,304,0
2020-10-31,2020,10,Oct,October,Q4,4,2020-10,2020-Q4,Saturday,305,1
2020-11-01,2020,11,Nov,November,Q4,4,2020-11,2020-Q4,Sunday,306,1
2020-11-02,2020,11,Nov,November,Q4,4,2020-11,2020-Q4,Monday,307,0
2020-11-03,2020,11,Nov,November,Q4,4,2020-11,2020-Q4,Tuesday,308,0
2020-11-04,2020,11,Nov,November,Q4,4,2020-11,2020-Q4,Wednesday,309,0
